ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,,
AFG,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,509.2186613,519.8847731,493.7504181,507.1034319
AGO,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2790.726615
ALB,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5353.244856
AND,43335.32886,38686.46126,39538.76672,41303.92937,35762.52307,37474.66541,38962.88035,41793.05526,40886.39116
ARB,6867.600192,7466.811811,7522.595344,7461.54515,6400.36035,6112.105953,6108.58822,6601.825189,6584.740241
ARE,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676,40644.80404,43839.35635,43103.32306
ARG,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809
ARM,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4220.490277,4622.733493
ASM,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,
ATG,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16672.74424,17112.82113
AUS,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55060.3261
AUT,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47426.51196,51478.28526,50137.66278
AZE,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4793.58702
BDI,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307,271.7520444,261.2474725
BEL,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44192.62303,47583.07494,46420.66377
BEN,1130.273132,1145.140811,1251.210518,1291.409808,1076.797716,1087.287832,1136.592847,1240.829464,1219.432672
BFA,751.1729572,758.0007014,787.4701763,792.8467784,653.3269795,688.2496628,734.9944298,813.096849,786.8956313
