Country Name,ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152
Afghanistan,AFG,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486
Angola,AGO,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782
Albania,ALB,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458
Andorra,AND,,,,,,,,,
Arab World,ARB,70.34991623,70.5287748,70.7038266,70.88225372,71.06429242,71.24957141,71.43649685,71.62252635,71.80682516
United Arab Emirates,ARE,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814
Argentina,ARG,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52
Armenia,ARM,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945
American Samoa,ASM,,,,,,,,,
Antigua and Barbuda,ATG,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885
Australia,AUS,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049
Austria,AUT,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293
Azerbaijan,AZE,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864
Burundi,BDI,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247
Belgium,BEL,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195
Benin,BEN,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47
Burkina Faso,BFA,57.096,57.761,58.374,58.937,59.45,59.919,60.354,60.768,61.174
Bangladesh,BGD,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32
Bulgaria,BGR,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463
Bahrain,BHR,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163
"Bahamas, The",BHS,72.144,72.263,72.424,72.62,72.847,73.088,73.329,73.554,73.752
Bosnia and Herzegovina,BIH,76.031,76.219,76.401,76.569,76.723,76.865,76.998,77.128,77.262
Belarus,BLR,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976
Belize,BLZ,72.057,72.57,73.044,73.452,73.782,74.034,74.219,74.365,74.496
Bermuda,BMU,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122,81.65170732
Bolivia,BOL,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239
Brazil,BRA,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672
Barbados,BRB,78.364,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081
Brunei Darussalam,BRN,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585,75.722
Bhutan,BTN,68.384,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46
Botswana,BWA,60.211,61.91,63.511,64.976,66.265,67.338,68.178,68.812,69.275
Central African Republic,CAF,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805
Canada,CAN,81.24634146,81.44878049,81.64878049,81.74878049,81.8,81.9,81.9,81.94878049,81.94878049
Central Europe and the Baltics,CEB,75.29396578,75.88847488,75.9934886,76.35516299,76.67562361,76.57187776,76.96981142,76.94746535,76.97684517
Switzerland,CHE,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098,83.60243902,83.55121951,83.75365854
Channel Islands,CHI,81.483,81.688,81.883,82.071,82.252,82.429,82.6,82.766,82.928
Chile,CHL,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042
China,CHN,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704
Cote d'Ivoire,CIV,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422
Cameroon,CMR,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921
"Congo, Dem. Rep.",COD,56.909,57.427,57.914,58.381,58.828,59.254,59.655,60.026,60.368
"Congo, Rep.",COG,60.093,60.785,61.423,62.022,62.582,63.097,63.556,63.954,64.29
Colombia,COL,75.424,75.655,75.882,76.105,76.322,76.531,76.732,76.925,77.109
Comoros,COM,61.862,62.24,62.595,62.922,63.214,63.471,63.7,63.912,64.118
Cabo Verde,CPV,71.062,71.243,71.445,71.661,71.886,72.117,72.347,72.57,72.782
Costa Rica,CRI,78.769,78.919,79.074,79.234,79.398,79.565,79.738,79.914,80.095
Caribbean small states,CSS,72.67939638,72.79529893,72.91180287,73.03014399,73.15058319,73.27301798,73.39595782,73.51749107,73.63710891
Cuba,CUB,78.338,78.4,78.446,78.485,78.521,78.561,78.607,78.662,78.726
Curacao,CUW,,77.47317073,77.52439024,77.82682927,77.97560976,78.07560976,77.7195122,78.01707317,
Cayman Islands,CYM,82.1902439,,,,,,,,
Cyprus,CYP,79.43,79.621,79.812,79.999,80.178,80.35,80.513,80.672,80.828
Czech Republic,CZE,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,79.02682927,78.97804878,79.02926829
Germany,DEU,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293
Djibouti,DJI,60.062,60.667,61.395,62.239,63.171,64.136,65.064,65.893,66.582
Dominica,DMA,,,,,,,,,
Denmark,DNK,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.10243902,80.95365854
Dominican Republic,DOM,72.046,72.284,72.523,72.763,73.003,73.241,73.471,73.689,73.892
Algeria,DZA,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693
East Asia & Pacific (excluding high income),EAP,73.06626441,73.35512026,73.64529744,73.93437703,74.22047205,74.49622762,74.75561418,74.9949516,75.21051211
Early-demographic dividend,EAR,68.05602105,68.43890644,68.80321101,69.14517109,69.46092456,69.74850615,70.01122339,70.25420448,70.48319068
East Asia & Pacific,EAS,74.0129969,74.26595012,74.56212675,74.84821439,75.12517029,75.39255688,75.63554087,75.86595391,76.06833643
Europe & Central Asia (excluding high income),ECA,70.64357926,71.22011728,71.59716759,72.01526993,72.27180784,72.59582795,72.94881946,73.41270948,73.59078153
Europe & Central Asia,ECS,75.94068464,76.46477662,76.62455211,76.95209232,77.28593768,77.24096245,77.5932005,77.7854252,77.90860669
Ecuador,ECU,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584,76.8
"Egypt, Arab Rep.",EGY,70.349,70.543,70.736,70.928,71.117,71.302,71.482,71.656,71.825
Euro area,EMU,80.74678098,81.23282485,81.22715817,81.51232873,81.94298277,81.56922911,81.95454533,81.93221523,82.05961728
Eritrea,ERI,62.193,62.732,63.238,63.726,64.201,64.664,65.111,65.538,65.941
Spain,ESP,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732
Estonia,EST,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244
Ethiopia,ETH,61.627,62.505,63.281,63.961,64.547,65.048,65.482,65.872,66.24
European Union,EUU,79.62942606,80.13777288,80.15688815,80.46374093,80.87044758,80.56680714,80.94986464,80.93065884,81.03440922
Fragile and conflict affected situations,FCS,58.60681826,59.01079626,59.40927758,59.80233788,60.18420518,60.5480152,60.88862351,61.20474902,61.49999958
Finland,FIN,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634
Fiji,FJI,66.655,66.759,66.859,66.95,67.03,67.103,67.175,67.252,67.341
France,FRA,81.66341463,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.72439024
