Country Name,ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581,,
Afghanistan,AFG,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109225814,12439087077,15856574731,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008
Angola,AGO,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11,1.01E+11,88815697793
Albania,ALB,3922099471,4348070165,5611492283,7184681399,8052075642,8896073938,10677321490,12881354104,12044223353,11926928506,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15279183290
Andorra,AND,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3154057987
Arab World,ARB,7.23E+11,7.27E+11,8.21E+11,9.65E+11,1.19E+12,1.41E+12,1.64E+12,2.08E+12,1.80E+12,2.10E+12,2.49E+12,2.77E+12,2.86E+12,2.89E+12,2.53E+12,2.47E+12,2.52E+12,2.77E+12,2.82E+12
United Arab Emirates,ARE,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.75E+11,3.90E+11,4.03E+11,3.58E+11,3.57E+11,3.86E+11,4.22E+11,4.21E+11
Argentina,ARG,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.18E+11,4.45E+11
Armenia,ARM,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158
American Samoa,ASM,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,
Antigua and Barbuda,ATG,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605351852,1661962963
Australia,AUS,3.78E+11,3.95E+11,4.66E+11,6.12E+11,6.93E+11,7.46E+11,8.53E+11,1.05E+12,9.28E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.40E+12
Austria,AUT,1.97E+11,2.13E+11,2.62E+11,3.01E+11,3.16E+11,3.36E+11,3.89E+11,4.30E+11,4.00E+11,3.92E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.96E+11,4.17E+11,4.55E+11,4.45E+11
Azerbaijan,AZE,5707720391,6235856820,7276013032,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48047647059
Burundi,BDI,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2959640987,3172292379,3036931818,3012334882
Belgium,BEL,2.37E+11,2.57E+11,3.17E+11,3.69E+11,3.86E+11,4.08E+11,4.70E+11,5.15E+11,4.81E+11,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11,5.44E+11,5.33E+11
Benin,BEN,3663017700,4174634520,5337266688,6179176459,6565043460,7027863025,8158257572,9748276762,9699586794,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701656931,14250985959,14390709095
Burkina Faso,BFA,3190371050,3622350204,4740768355,5451688868,6146352742,6547420134,7625723124,9451436359,9450697336,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,16059910871,15990803570
Bangladesh,BGD,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11,2.50E+11,2.74E+11,3.03E+11
Bulgaria,BGR,14183497963,16402846413,21144983552,26157894737,29869283400,34379808889,44405101470,54438966420,52023504656,50381825504,57386216850,54033250329,55615397666,56901994980,50647442757,53806894796,58971520599,66230155100,68558815112
Bahrain,BHR,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37652500000,38574069149
"Bahamas, The",BHS,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10568400000,11111600000,11710800000,11928500000,12490700000,13022100000,13578800000
Bosnia and Herzegovina,BIH,5748993411,6651106833,8369878823,10596205714,11222953519,12864610994,15778767670,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16211541820,16913330694,18080118128,20183510561,20164193807
Belarus,BLR,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,63080457023
Belize,BLZ,868350000,925050000,983500000,1051350000,1102050000,1210150000,1271600000,1351350000,1317300000,1377200000,1460800000,1522900000,1579400000,1662800000,1723800000,1775100000,1836600000,1871200000,1879613600
Bermuda,BMU,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000
Bolivia,BOL,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631314,23963033431,27084497483,30659338880,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844
Brazil,BRA,5.59E+11,5.08E+11,5.58E+11,6.69E+11,8.92E+11,1.11E+12,1.40E+12,1.70E+12,1.67E+12,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.89E+12,1.84E+12
Barbados,BRB,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4674000000,4785000000,4465500000,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000
Brunei Darussalam,BRN,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,13469422959
Bhutan,BTN,461444513.7,520849551.5,604041957.9,682523857,796938120.2,874989895.6,1168308517,1227808791,1234014292,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2530547158
Botswana,BWA,5489608300,5438857107,7511582173,8957467707,9918907108,10137883299,10939053365,10945070442,10267133178,12786654498,15351972361,14380004175,14901750991,16250781587,14420593484,15646354089,17405588070,18663265549,18340480936
Central African Republic,CAF,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,2059094048,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072350151,2220978978,2220307369
Canada,CAN,7.36E+11,7.58E+11,8.92E+11,1.02E+12,1.17E+12,1.32E+12,1.46E+12,1.55E+12,1.37E+12,1.61E+12,1.79E+12,1.83E+12,1.85E+12,1.80E+12,1.56E+12,1.53E+12,1.65E+12,1.72E+12,1.74E+12
Central Europe and the Baltics,CEB,4.69E+11,5.28E+11,6.34E+11,7.63E+11,8.86E+11,1.00E+12,1.27E+12,1.53E+12,1.29E+12,1.32E+12,1.45E+12,1.35E+12,1.42E+12,1.46E+12,1.29E+12,1.32E+12,1.46E+12,1.64E+12,1.67E+12
Switzerland,CHE,2.79E+11,3.01E+11,3.53E+11,3.94E+11,4.09E+11,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.71E+11,6.80E+11,7.05E+11,7.03E+11
Channel Islands,CHI,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,,,,
Chile,CHL,70979923960,69736811435,75643459840,99210392858,1.23E+11,1.55E+11,1.74E+11,1.80E+11,1.72E+11,2.19E+11,2.52E+11,2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.50E+11,2.77E+11,2.98E+11,2.82E+11
China,CHN,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13
Cote d'Ivoire,CIV,11202353585,12405208665,15340993079,16584164236,17091723906,17816714954,20370544322,24322959641,24375209178,24908781285,25414875503,26789047555,31273074528,35363533866,45814637971,47964234560,51588158718,58011466451,58539424930
Cameroon,CMR,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26169323293,29375448542,29102772799,32357345501,34989493826,30928653814,32643697596,35009262788,38694156863,39007354359
"Congo, Dem. Rep.",COD,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,46831342213,50400746171
"Congo, Rep.",COG,2796704577,3034251042,3503723245,4656975223,6650001214,8072305415,8782703767,11649858744,9723300391,13148395202,15655384440,17692912613,17958721572,17783526318,11953249530,10335424288,11198674674,13518403447,12267392147
Colombia,COL,98211749596,97963003805,94641378693,1.17E+11,1.46E+11,1.62E+11,2.06E+11,2.42E+11,2.32E+11,2.87E+11,3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.24E+11
Comoros,COM,378512003.4,425964697.4,546885185,633706149.3,653845122.9,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1178530758,1165839927
Cabo Verde,CPV,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287,1662998678,1769787215,1966983317,1981845740
Costa Rica,CRI,15913363441,16504795593,17196009811,18528955525,19948261084,22602721765,26743972564,30612927059,30562361123,37268614024,42262697840,46473128286,49745088112,50577769838,54775994479,57157992434,58481858043,60553901420,61801385049
Caribbean small states,CSS,35249124487,36990581960,39545843699,43259576006,48918431749,55670905492,61875372966,70340127758,59411430651,64524470198,69668274256,72051118642,73417589878,74433668499,72828471571,69191343076,71452564226,74967267520,77721714918
Cuba,CUB,31682400000,33590500000,35901200000,38203000000,42643836100,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.00E+11,
Curacao,CUW,,,,,,,,,,,3038699609,3131096089,3147616201,3158406034,3151910782,3122287933,3116610112,3127908045,3101787709
Cayman Islands,CYM,,,,,,4200439499,4466438823,4586114070,4281868766,4156990816,4186223865,4291158968,4405954696,4563017852,4708336756,4909498943,5153091158,5517361238,
Cyprus,CYP,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22729184365,25309818139,24948935408
Czech Republic,CZE,67808032980,82196001051,1.00E+11,1.20E+11,1.37E+11,1.56E+11,1.90E+11,2.37E+11,2.07E+11,2.09E+11,2.30E+11,2.09E+11,2.12E+11,2.09E+11,1.88E+11,1.96E+11,2.19E+11,2.49E+11,2.51E+11
Germany,DEU,1.94E+12,2.07E+12,2.50E+12,2.81E+12,2.85E+12,2.99E+12,3.42E+12,3.73E+12,3.40E+12,3.40E+12,3.74E+12,3.53E+12,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.68E+12,3.96E+12,3.86E+12
Djibouti,DJI,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214681574,2430287967,2603554907,2751461056,3012820410,3324634256
Dominica,DMA,340205074.1,333195185.2,343310666.7,367199111.1,364255074.1,390250148.1,421375851.9,458190185.2,489074333.3,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037,551074074.1,582403703.7
Denmark,DNK,1.65E+11,1.79E+11,2.18E+11,2.51E+11,2.64E+11,2.83E+11,3.19E+11,3.53E+11,3.21E+11,3.22E+11,3.44E+11,3.27E+11,3.44E+11,3.53E+11,3.03E+11,3.13E+11,3.32E+11,3.57E+11,3.50E+11
Dominican Republic,DOM,25601765403,27137508655,21403167849,22322395369,35777570134,37879869898,43965420071,48122547177,48261033297,53860175557,58029750744,60681537195,62682163838,67179914026,71164825258,75704720190,79997975623,85555378044,88941299734
Algeria,DZA,54744725766,56760246982,67863841333,85325003122,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.70E+11,1.75E+11,1.71E+11
East Asia & Pacific (excluding high income),EAP,1.85E+12,2.05E+12,2.32E+12,2.69E+12,3.11E+12,3.75E+12,4.74E+12,5.99E+12,6.50E+12,7.87E+12,9.62E+12,1.07E+13,1.18E+13,1.28E+13,1.33E+13,1.36E+13,1.48E+13,1.66E+13,1.72E+13
Early-demographic dividend,EAR,3.28E+12,3.18E+12,3.54E+12,4.11E+12,4.80E+12,5.48E+12,6.50E+12,7.33E+12,7.06E+12,8.58E+12,9.61E+12,1.01E+13,1.03E+13,1.06E+13,1.03E+13,1.06E+13,1.14E+13,1.16E+13,1.20E+13
East Asia & Pacific,EAS,7.72E+12,7.84E+12,8.63E+12,9.68E+12,1.03E+13,1.10E+13,1.23E+13,1.41E+13,1.46E+13,1.70E+13,1.97E+13,2.11E+13,2.13E+13,2.20E+13,2.19E+13,2.27E+13,2.42E+13,2.64E+13,2.69E+13
Europe & Central Asia (excluding high income),ECA,6.55E+11,7.50E+11,9.46E+11,1.26E+12,1.59E+12,1.95E+12,2.50E+12,3.10E+12,2.43E+12,2.94E+12,3.66E+12,3.90E+12,4.14E+12,3.84E+12,2.92E+12,2.77E+12,3.11E+12,3.19E+12,3.25E+12
Europe & Central Asia,ECS,1.01E+13,1.11E+13,1.35E+13,1.57E+13,1.68E+13,1.81E+13,2.12E+13,2.33E+13,2.05E+13,2.10E+13,2.33E+13,2.24E+13,2.34E+13,2.37E+13,2.05E+13,2.04E+13,2.16E+13,2.31E+13,2.28E+13
Ecuador,ECU,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.02E+11,99290381000,99937696000,1.04E+11,1.08E+11,1.07E+11
"Egypt, Arab Rep.",EGY,96684636119,85146067416,80288461538,78782467532,89600665557,1.07E+11,1.30E+11,1.63E+11,1.89E+11,2.19E+11,2.36E+11,2.79E+11,2.88E+11,3.06E+11,3.29E+11,3.32E+11,2.36E+11,2.50E+11,3.03E+11
Euro area,EMU,6.59E+12,7.17E+12,8.84E+12,1.01E+13,1.05E+13,1.12E+13,1.29E+13,1.41E+13,1.29E+13,1.26E+13,1.36E+13,1.26E+13,1.32E+13,1.35E+13,1.17E+13,1.20E+13,1.27E+13,1.37E+13,1.34E+13
Eritrea,ERI,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,,,,,,,,
Spain,ESP,6.27E+11,7.05E+11,9.05E+11,1.07E+12,1.15E+12,1.26E+12,1.47E+12,1.63E+12,1.49E+12,1.42E+12,1.48E+12,1.32E+12,1.35E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12,1.42E+12,1.39E+12
Estonia,EST,6259257900,7372457380,9877636631,12144397516,14098326079,17012322168,22445583082,24371299253,19744110864,19693608289,23391530006,23192708982,25271406708,26773473625,23048864243,24259552889,26951648829,30631142227,31471100656
Ethiopia,ETH,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628
European Union,EUU,7.39E+12,8.05E+12,9.91E+12,1.14E+13,1.19E+13,1.27E+13,1.47E+13,1.62E+13,1.47E+13,1.45E+13,1.57E+13,1.46E+13,1.53E+13,1.56E+13,1.35E+13,1.39E+13,1.48E+13,1.60E+13,1.56E+13
Fragile and conflict affected situations,FCS,4.08E+11,3.92E+11,4.17E+11,5.19E+11,6.49E+11,8.06E+11,9.81E+11,1.26E+12,1.19E+12,1.43E+12,1.45E+12,1.68E+12,1.76E+12,1.92E+12,1.73E+12,1.55E+12,1.57E+12,1.70E+12,1.78E+12
Finland,FIN,1.29E+11,1.40E+11,1.71E+11,1.97E+11,2.05E+11,2.17E+11,2.56E+11,2.85E+11,2.52E+11,2.49E+11,2.75E+11,2.58E+11,2.71E+11,2.74E+11,2.34E+11,2.41E+11,2.55E+11,2.76E+11,2.69E+11
Fiji,FJI,1660102346,1842691481,2315935753,2727507213,3006725015,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963252,4682546881,4930204220,5353404419,5581393121,5496250694
France,FRA,1.38E+12,1.49E+12,1.84E+12,2.12E+12,2.20E+12,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.60E+12,2.79E+12,2.72E+12
Faroe Islands,FRO,1147654635,1262669892,1494011567,1688237552,1727792693,1984445416,2290133549,2432415998,2268387771,2320424601,2490807831,2366301252,2627049837,2850743875,2518096286,2738832687,2905102304,3116887847,
"Micronesia, Fed. Sts.",FSM,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,
Gabon,GAB,5023265365,5335451308,6511903657,7770219480,9582783318,10327598801,12455410056,15571349776,12113699661,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16862282414,16874450215
United Kingdom,GBR,1.64E+12,1.78E+12,2.05E+12,2.42E+12,2.54E+12,2.71E+12,3.10E+12,2.92E+12,2.41E+12,2.48E+12,2.66E+12,2.70E+12,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12,2.86E+12,2.83E+12
Georgia,GEO,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17599700091,17477255546
Ghana,GHA,5314909954,6166330136,7632406553,8881368538,10744675210,20440893017,24827844950,28678701891,26048108185,32197272797,39337314810,41270954737,62405374786,53660342160,48564863888,55009730600,58998132330,65556464048,66983634224
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,
Guinea,GIN,2829435957,2950198649,3446441698,3635458133,2937071767,4220019243,6281917656,6964179194,6716904569,6853467858,6785137173,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,10907214994,12296665331
"Gambia, The",GMB,687408804.6,578236035.1,487038821.6,961900106.9,1027702254,1054113427,1279704745,1561763437,1450140386,1543292393,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1826073740
Guinea-Bissau,GNB,392621385.9,417806667.1,477458598.7,532062927.4,587029054.4,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1458868242,1339449165
Equatorial Guinea,GNQ,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16314442183,21357344847,22388345810,21948835350,21765454404,13185496836,11240809132,12200914930,13278488567,11026774945
Greece,GRC,1.36E+11,1.54E+11,2.02E+11,2.41E+11,2.48E+11,2.73E+11,3.18E+11,3.54E+11,3.30E+11,2.99E+11,2.88E+11,2.46E+11,2.40E+11,2.37E+11,1.97E+11,1.95E+11,2.04E+11,2.18E+11,2.10E+11
Grenada,GRD,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1125685185,1168696296,1210603704
Greenland,GRL,1086172923,1169138789,1558753434,1822486689,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2684952727,2842048998,2499115623,2707146783,2826651926,3051626390,
Guatemala,GTM,18702802522,20776403774,21917430694,23965275794,27211377107,30231249625,34113107372,39136436614,37733609795,41338008613,47654783852,50388460925,52996540576,57852399705,62186186576,66053725049,71612352645,73118147941,76710355347
Guam,GUM,,3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5336000000,5538000000,5710000000,5795000000,5851000000,5920000000,
Guyana,GUY,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,2379818383,2730968914,3025189399,3165661865,3432913353,3691384743,4063090016,4167801803,4127664336,4279840362,4482697337,4748174334,4787635821,5173759528
High income,HIC,2.74E+13,2.86E+13,3.20E+13,3.57E+13,3.77E+13,3.99E+13,4.36E+13,4.64E+13,4.35E+13,4.56E+13,4.92E+13,4.93E+13,4.99E+13,5.10E+13,4.82E+13,4.92E+13,5.15E+13,5.47E+13,5.51E+13
"Hong Kong SAR, China",HKG,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.41E+11,3.62E+11,3.66E+11
Honduras,HND,7651174661,7858235333,8230387552,8869311411,9757034457,10917481688,12361257681,13881701034,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24024189736,25095395475
Heavily indebted poor countries (HIPC),HPC,1.62E+11,1.74E+11,1.97E+11,2.26E+11,2.58E+11,3.07E+11,3.66E+11,4.42E+11,4.49E+11,4.90E+11,5.46E+11,5.81E+11,6.48E+11,6.83E+11,6.77E+11,6.70E+11,7.13E+11,7.59E+11,7.83E+11
Croatia,HRV,23054778851,26813968851,34682900713,41587470547,45376744002,50423077102,60073426977,70234425974,62600093959,59918313669,62537851352,56580819624,58194069434,57639588806,49525747504,51601147666,55481644098,61375222347,60752588976
Haiti,HTI,6364908100,6106867934,5000238129,6005401730,7049954289,7408787819,9315973989,10386485528,11269821159,11661585823,13008748132,13708931890,14498080023,14790765760,14857386164,13723267961,14213814583,15965670198,14332163266
Hungary,HUN,53749989092,67608919144,85302003908,1.04E+11,1.13E+11,1.16E+11,1.40E+11,1.58E+11,1.31E+11,1.32E+11,1.42E+11,1.28E+11,1.35E+11,1.41E+11,1.25E+11,1.28E+11,1.43E+11,1.60E+11,1.63E+11
IBRD only,IBD,5.90E+12,5.99E+12,6.74E+12,8.03E+12,9.60E+12,1.14E+13,1.42E+13,1.70E+13,1.65E+13,2.00E+13,2.36E+13,2.51E+13,2.66E+13,2.75E+13,2.60E+13,2.62E+13,2.89E+13,3.08E+13,3.15E+13
IDA & IBRD total,IBT,6.36E+12,6.49E+12,7.31E+12,8.69E+12,1.04E+13,1.23E+13,1.52E+13,1.83E+13,1.78E+13,2.15E+13,2.53E+13,2.69E+13,2.85E+13,2.96E+13,2.80E+13,2.82E+13,3.10E+13,3.30E+13,3.39E+13
IDA total,IDA,4.68E+11,5.03E+11,5.65E+11,6.62E+11,7.69E+11,9.26E+11,1.08E+12,1.30E+12,1.28E+12,1.47E+12,1.66E+12,1.79E+12,1.97E+12,2.11E+12,2.10E+12,2.04E+12,2.11E+12,2.23E+12,2.32E+12
IDA blend,IDB,2.06E+11,2.27E+11,2.55E+11,3.11E+11,3.72E+11,4.65E+11,5.37E+11,6.36E+11,5.96E+11,7.00E+11,8.04E+11,8.90E+11,9.66E+11,1.04E+12,1.00E+12,9.31E+11,9.23E+11,9.64E+11,9.92E+11
Indonesia,IDN,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12
