Country Name,ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,20669.03197,20436.88713,20833.76161,22569.97499,23300.03956,24045.27248,25835.13267,27084.70369,24630.45371,23512.6026,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,,
Afghanistan,AFG,,179.426611,190.6838143,211.3821169,242.0312849,263.7336917,359.6932375,364.6607448,438.0760344,543.3030419,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,509.2186613,519.8847731,493.7504181,507.1034319
Angola,AGO,527.3335285,872.4944916,982.9608993,1255.564045,1902.422346,2599.566464,3121.995637,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2790.726615
Albania,ALB,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5353.244856
Andorra,AND,22971.53554,25066.88221,32271.9639,37969.17499,40066.25692,42675.81276,47803.69361,48718.49687,43503.18552,40852.66678,43335.32886,38686.46126,39538.76672,41303.92937,35762.52307,37474.66541,38962.88035,41793.05526,40886.39116
Arab World,ARB,2506.367538,2466.639349,2726.842138,3134.840632,3765.918161,4360.335052,4963.22471,6149.511489,5180.581491,5926.712963,6867.600192,7466.811811,7522.595344,7461.54515,6400.36035,6112.105953,6108.58822,6601.825189,6584.740241
United Arab Emirates,ARE,31280.78428,31567.47371,33499.09375,36333.24984,39365.4339,41907.40566,41809.51638,44498.93423,32024.1816,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676,40644.80404,43839.35635,43103.32306
Argentina,ARG,7208.371567,2593.40415,3349.806124,4277.721351,5109.851325,5919.012037,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809
Armenia,ARM,694.4232277,783.2406986,930.1273219,1191.91902,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4220.490277,4622.733493
American Samoa,ASM,,8700.067705,8856.547459,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,
Antigua and Barbuda,ATG,10367.31961,10401.44941,10799.44888,11448.53652,12557.08541,13997.66593,15623.25065,16043.54217,14160.07228,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16672.74424,17112.82113
Australia,AUS,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55060.3261
Austria,AUT,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47426.51196,51478.28526,50137.66278
Azerbaijan,AZE,703.6838434,763.080638,883.6439965,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4793.58702
Burundi,BDI,134.3634475,123.117628,113.5673664,128.3366128,151.6814634,167.3764845,172.4958599,198.3529006,212.1368804,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307,271.7520444,261.2474725
Belgium,BEL,22995.15752,24887.56133,30587.66841,35364.37533,36795.97688,38672.70594,44262.896,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44192.62303,47583.07494,46420.66377
Benin,BEN,517.6142296,572.2287954,709.6905332,797.31268,822.4578309,855.2940392,964.926944,1120.888273,1084.3939,1036.533952,1130.273132,1145.140811,1251.210518,1291.409808,1076.797716,1087.287832,1136.592847,1240.829464,1219.432672
Burkina Faso,BFA,267.0976444,294.6653166,374.6274468,418.376885,457.9336014,473.4497655,535.0625798,643.404581,624.1751645,647.8358465,751.1729572,758.0007014,787.4701763,792.8467784,653.3269795,688.2496628,734.9944298,813.096849,786.8956313
Bangladesh,BGD,415.0344266,413.0802546,446.3106592,475.2919198,499.4619402,509.6401429,558.0518603,634.9870565,702.26441,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628,1563.913699,1698.350394,1855.739824
Bulgaria,BGR,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6988.233325,6812.406338,7809.425062,7395.849803,7655.129708,7876.866465,7055.935673,7548.855007,8334.081728,9427.73043,9828.148515
Bahrain,BHR,12868.26916,13049.80322,14222.0368,15846.54414,17959.25544,19307.60966,20976.54353,23066.53376,19355.90467,20722.13729,22514.23795,23654.35139,24744.29696,24989.40012,22634.11865,22608.48428,23742.98502,23991.05668,23503.97713
"Bahamas, The",BHS,27486.23677,28866.80101,28327.27087,28395.92466,30278.36692,30713.70528,31472.09897,30627.23863,28552.19048,28443.40766,28006.37972,29485.62093,28783.55412,29980.06114,31295.06208,31562.63974,32718.6381,33767.50337,34863.7421
Bosnia and Herzegovina,BIH,1530.814816,1769.199828,2224.745864,2814.999895,2980.602109,3416.510596,4193.373652,5090.932345,4714.702495,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277712,4994.68314,5394.59122,6072.184623,6108.510696
Belarus,BLR,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5351.355382,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6330.075246,6663.295293
Belize,BLZ,3404.453017,3525.638583,3650.366521,3802.295808,3883.192389,4153.894738,4252.48725,4404.330836,4186.489965,4270.864345,4423.489797,4505.621302,4568.502958,4705.60269,4775.955648,4818.403909,4887.577208,4884.734162,4815.163711
Bermuda,BMU,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113021.4174,117089.2863
Bolivia,BOL,948.8712066,904.2266273,907.5371101,967.406992,1034.31124,1218.874459,1372.628225,1715.208922,1754.211061,1955.461544,2346.337155,2609.880814,2908.200095,3081.878823,3035.972214,3076.65895,3351.124044,3548.590155,3552.06876
Brazil,BRA,3156.798718,2829.283192,3070.910491,3637.462389,4790.437088,5886.463588,7348.030794,8831.023117,8597.915352,11286.24302,13245.6125,12370.0242,12300.32488,12112.58821,8814.000987,8710.09669,9925.386238,9001.234249,8717.186278
Barbados,BRB,11209.17431,11361.43367,11699.45576,12512.53251,13822.59168,15199.45797,16770.72121,17092.58214,15885.57971,16056.37098,16458.35321,16249.55939,16451.16358,16489.07224,16525.07325,16900.16655,17391.42587,17745.19346,18148.24493
Brunei Darussalam,BRN,16472.14862,16850.15113,18560.60857,21902.08805,26105.27903,30979.87917,32663.56659,37934.37651,27955.71386,35269.55311,47055.84112,47740.5149,44740.08502,41726.78397,31164.56203,27157.82341,28572.14678,31628.32879,31086.75112
Bhutan,BTN,764.4366074,845.5102798,962.0969037,1068.421776,1228.441824,1330.965297,1757.182567,1828.149233,1819.213401,2258.183141,2563.257527,2538.9459,2472.714309,2652.214589,2752.664208,2930.562989,3286.574703,3243.486036,3316.175714
Botswana,BWA,3278.00825,3190.615453,4330.9449,5073.53765,5513.327998,5521.999631,5832.733942,5713.534983,5255.768461,6434.815724,7617.32516,7050.573472,7224.965281,7780.653384,6799.870178,7243.870253,7893.232534,8279.601739,7961.325181
Central African Republic,CAF,250.3570114,260.7455273,293.6618517,320.7374603,331.1629242,354.6713801,404.373965,464.5614221,474.7054087,488.4214018,551.7500966,565.800697,380.2981676,424.4487513,377.4230017,402.1912906,450.900245,475.9536099,467.9074406
Canada,CAN,23738.18072,24169.28473,28200.65808,32034.30774,36266.18712,40385.86996,44543.04104,46594.45095,40773.06153,47448.01322,52087.44638,52678.39012,52652.59368,50893.44671,43585.51198,42322.48478,45148.55271,46313.17137,46194.72523
Central Europe and the Baltics,CEB,4352.340338,4936.039338,5943.439069,7171.174169,8356.267671,9474.976054,12012.39222,14585.41472,12304.55566,12608.63333,13910.44737,13014.71588,13712.68451,14154.14254,12513.20184,12822.37622,14244.86448,16037.4819,16298.47876
Switzerland,CHE,38538.99009,41376.39395,48087.58313,53340.14768,54952.67376,57579.50195,63555.23746,72487.84594,69927.46876,74605.72108,88415.62803,83538.23003,85112.4644,86605.56338,82081.59716,80172.23209,80449.99451,82818.10816,81993.72713
Channel Islands,CHI,41804.37092,44544.43344,48859.48302,56753.3862,58197.44938,63239.65383,74462.64675,,,,,,,,,,,,
Chile,CHL,4574.594421,4446.250505,4772.56282,6194.853107,7598.525121,9464.550243,10502.35452,10751.47967,10208.90676,12808.03459,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183,13753.59444,14999.37009,15924.79424,14896.45387
China,CHN,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5618.132267,6316.918318,7050.646271,7678.599486,8066.942635,8147.937705,8879.438667,9976.677137,10216.63033
Cote d'Ivoire,CIV,664.7087345,719.9129843,871.6666494,922.8552224,931.2000256,949.9757266,1062.557639,1240.614829,1215.166785,1213.112645,1208.583026,1243.273487,1415.871758,1561.463655,1972.546108,2013.382462,2111.027076,2314.050681,2276.333279
Cameroon,CMR,651.1009075,707.8875674,865.9581375,1009.94312,1011.880073,1062.137433,1194.06985,1371.746708,1314.706015,1286.515572,1405.094392,1354.545613,1465.638843,1542.620266,1327.503017,1364.33011,1425.107818,1534.493702,1507.450206
"Congo, Dem. Rep.",COD,153.5910092,175.0099651,173.7961353,194.0399624,218.3861908,255.4330838,286.3304921,327.5637218,298.6196821,334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404,467.0742375,557.0644183,580.7168672
"Congo, Rep.",COG,869.0996914,916.584992,1028.413109,1326.596688,1835.609778,2155.407611,2265.849879,2904.12549,2345.568944,3076.561253,3562.216188,3922.868267,3884.847513,3754.195467,2461.49417,2074.970159,2191.220438,2577.701705,2279.969131
Colombia,COL,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6716.911598,6428.676206
Comoros,COM,680.9141471,747.990176,937.714112,1061.079101,1069.025931,1114.948841,1240.100259,1393.211792,1344.728409,1316.498848,1447.963587,1403.34862,1505.349473,1513.830379,1242.60319,1273.058953,1323.81159,1415.955313,1370.148207
Cabo Verde,CPV,1292.202785,1401.903733,1809.089925,2024.275248,2099.157484,2361.385134,3186.826892,3721.250949,3517.401245,3378.25486,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984,3130.963386,3292.645755,3617.327489,3603.781793
Costa Rica,CRI,3944.737613,4024.6519,4129.632791,4385.390719,4654.824822,5201.514095,6071.789165,6859.079022,6760.477515,8141.913127,9121.932518,9913.209959,10490.08133,10547.15186,11299.13554,11666.45591,11814.62657,12112.13442,12243.81143
Caribbean small states,CSS,5374.084361,5600.423978,5945.87612,6459.590803,7255.011561,8201.23314,9054.865491,10225.38661,8578.705548,9253.213333,9920.892099,10187.27161,10306.63453,10376.28359,10083.96487,9518.183873,9767.970059,10187.21231,10500.9719
Cuba,CUB,2837.738018,2999.245244,3197.133754,3395.71205,3786.664795,4683.566155,5208.716073,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673,8821.818891,
Curacao,CUW,,,,,,,,,,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19573.89265,19689.13982
Cayman Islands,CYM,,,,,,82783.5928,85433.03028,85186.75366,77399.02328,73351.75776,72328.41261,72783.31979,73515.89629,74990.43274,76280.48662,78465.35733,81302.12297,85975.02474,
Cyprus,CYP,14821.44682,16093.21461,20252.23898,23792.62136,24959.25917,26729.3234,31244.92622,35397.36368,32109.24251,31023.63833,32396.38574,28912.15694,27729.1927,27129.62612,23333.71491,24532.51906,26338.69434,28689.70672,27858.371
Czech Republic,CZE,6637.041657,8060.868703,9818.568493,11749.85266,13430.6699,15261.79759,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23415.84363,23494.5962
Germany,DEU,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44552.81937,47810.50767,46445.2491
Djibouti,DJI,780.9082226,791.3894782,818.8666298,863.2316123,904.7297489,967.6686229,1052.725652,1223.856861,1267.312801,1343.26873,1451.54298,1559.240651,2312.728803,2464.327841,2658.978753,2802.197051,2914.383856,3141.889219,3414.92487
Dominica,DMA,4883.723663,4771.040927,4897.44175,5217.230416,5160.224314,5518.399108,5952.056669,6469.145738,6902.85717,6967.266654,7065.061847,6848.394227,7016.676471,7318.103783,7596.435062,8080.968623,7274.721333,7693.87887,8110.568512
Denmark,DNK,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61598.5367,60170.34264
Dominican Republic,DOM,2977.433818,3110.32509,2418.350422,2487.329061,3932.786568,4109.031363,4707.792532,5087.985365,5039.402596,5555.389722,5913.432072,6110.369652,6238.133608,6608.828102,6921.517228,7280.880109,7609.3388,8050.63044,8282.116359
Algeria,DZA,1740.607011,1781.825546,2103.381822,2609.952823,3113.095331,3478.710929,3946.664452,4923.843185,3883.132425,4479.34172,5462.260897,5591.212353,5498.784095,5494.352336,4187.509727,3945.482081,4111.29411,4153.733978,3973.964072
East Asia & Pacific (excluding high income),EAP,1008.381279,1106.287867,1241.643002,1428.07041,1640.993155,1961.174963,2461.147739,3091.117771,3327.919812,4005.571701,4858.636743,5378.90505,5891.53524,6306.40729,6522.749115,6612.327237,7173.567315,7971.673386,8192.143336
Early-demographic dividend,EAR,1302.007007,1242.611214,1359.357952,1554.864951,1783.194739,2006.456346,2342.035009,2599.828804,2464.560669,2948.87204,3257.344819,3366.871974,3378.151561,3448.533284,3302.729122,3334.115479,3555.334594,3585.307952,3644.014158
East Asia & Pacific,EAS,3736.239535,3765.791646,4108.72252,4574.644682,4848.266786,5105.596316,5672.592236,6498.527366,6647.805811,7698.067616,8861.509063,9420.554328,9466.303549,9703.324663,9598.287726,9857.959376,10467.35392,11318.34574,11502.86511
Europe & Central Asia (excluding high income),ECA,1774.521328,2031.47687,2560.576091,3392.550815,4283.10107,5242.022829,6724.545346,8298.876212,6479.030908,7794.233154,9628.084874,10206.4601,10748.21502,9910.10935,7472.89502,7058.861719,7879.818701,8031.821416,8133.573458
Europe & Central Asia,ECS,11762.05391,12835.15086,15585.67047,18114.91017,19229.02517,20758.68002,24167.1517,26419.86955,23145.14328,23614.22806,26118.77023,25075.84497,26079.54277,26305.79252,22554.46725,22383.04979,23629.10625,25215.21379,24742.71983
Ecuador,ECU,1894.615169,2172.101877,2425.851842,2691.278081,3002.136867,3328.882972,3567.836438,4249.019262,4231.615798,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276,6295.935399,6183.823825
"Egypt, Arab Rep.",EGY,1378.203403,1191.103255,1102.468275,1062.158092,1186.393423,1397.436817,1667.317955,2044.527855,2331.268582,2645.969047,2791.810799,3229.68563,3262.658029,3379.55851,3562.932735,3519.873203,2444.290311,2537.125365,3019.205829
Euro area,EMU,20432.46032,22109.18465,27134.87769,30948.95637,31936.14979,33767.30209,38667.06941,42178.29503,38423.75646,37568.88915,40615.34797,37599.91575,39105.15174,39858.37398,34370.78718,35147.74223,37140.66985,40038.50678,38976.34288
Eritrea,ERI,316.82382,293.9557909,334.5854429,407.7699765,388.5951226,415.0365994,439.8326905,450.6328403,595.1099872,501.3556333,642.5076591,,,,,,,,
Spain,ESP,15355.70317,17025.53198,21463.44266,24861.2828,26419.29686,28365.31349,32549.97098,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28170.16786,30389.36099,29600.37825
Estonia,EST,4509.178202,5344.877935,7206.166562,8912.992195,10406.39669,12631.56805,16741.93923,18227.11953,14794.9711,14790.82092,17621.54796,17534.42135,19174.10033,20367.10316,17522.23019,18437.25282,20458.46073,23170.70738,23723.30611
Ethiopia,ETH,120.765782,111.9272235,119.490391,136.4662556,162.4327265,194.6874305,244.2860372,326.4368267,380.5690479,341.5541149,354.4795758,467.0779272,499.5315721,566.9264665,640.5418913,717.1245929,768.5223076,771.5238139,855.7608623
European Union,EUU,17184.93994,18682.1266,22922.75157,26263.75235,27333.07788,29070.23827,33551.63505,36914.33312,33362.82385,32939.9954,35721.53221,33159.11101,34563.74263,35242.19074,30469.62439,31172.22864,33080.91864,35733.716,34913.19156
Fragile and conflict affected situations,FCS,788.2530254,738.1728969,765.8374598,929.3989807,1133.628589,1373.306265,1630.584188,2050.181575,1888.592231,2207.772111,2188.810694,2467.646304,2530.412354,2694.563718,2364.247697,2075.899974,2055.573604,2175.936541,2228.270237
Finland,FIN,24946.18919,26869.6749,32855.13263,37702.84538,39040.28888,41188.0937,48414.84509,53554.03892,47293.99283,46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42784.69836,43784.28396,46336.66325,50030.87731,48782.78848
Fiji,FJI,2039.625697,2260.258398,2837.892246,3334.931667,3659.579329,3747.860716,4072.10157,4167.670285,3362.816555,3652.527437,4371.45751,4591.555784,4840.693716,5605.570356,5390.745258,5651.318055,6101.030839,6317.487853,6175.88872
France,FRA,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857
Faroe Islands,FRO,24419.74244,26732.79047,31497.96692,35467.17547,36205.37054,41522.54386,47885.69888,50866.0811,47447.87004,48530.23385,52083.88914,49459.71723,54853.6256,59440.03076,52404.65933,56854.10265,60108.46669,64269.70425,
"Micronesia, Fed. Sts.",FSM,2248.429175,2265.880594,2295.889655,2253.092614,2358.280018,2406.182916,2458.611313,2541.408883,2721.870357,2885.445676,3009.198647,3131.386715,2994.679304,2971.45729,2906.376785,3014.700358,3289.701146,3568.291016,
Gabon,GAB,3993.047207,4141.418293,4933.436007,5739.583526,6891.366876,7221.329482,8458.25174,10254.15845,7721.004189,8849.3553,10809.64645,9813.477703,9683.57629,9663.42924,7384.71587,6984.451019,7230.396393,7956.627816,7767.013404
United Kingdom,GBR,27744.50646,30056.58622,34419.14791,40290.31397,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42330.11754
