Country Name,ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,109.4409637,111.0108337,109.2143021,110.8390503,111.3767166,114.251152,115.2115784,113.0916138,113.8017883,113.7942963,105.2558594,104.0871277,116.039299,117.1080933,,,,,
Afghanistan,AFG,20.88290977,68.98684692,93.36218262,104.6638184,98.09989166,101.6978531,98.93350983,100.7797318,96.89640045,100.0717087,97.64163971,103.4923935,104.4984283,105.9197083,103.534523,102.4864731,102.1757889,103.9961624,
Angola,AGO,,,,,,,98.97357941,105.1802063,104.1305695,105.7810364,119.5301437,,,,113.4779587,,,,
Albania,ALB,102.9673691,101.4115067,100.0051422,98.1780014,100.6760406,97.87570953,96.34562683,95.68250275,93.10456085,93.49047089,95.00608063,97.58512878,99.98390961,104.1080399,105.5429764,105.5538635,107.0466003,106.9934235,104.8127365
Andorra,AND,,,,,,,,,,,,,,,,,,,
Arab World,ARB,89.46537,90.67297,91.65731,92.04268,92.56015,93.54513,94.05211,94.95773,95.28881,96.01291,95.59116,97.51347,96.37268,95.9846,95.49426,95.33702,95.39558,95.54203,95.64803
United Arab Emirates,ARE,,,,,,,101.5898285,,,,,99.9434433,98.66689301,103.0735168,111.5427628,108.6727066,108.3970566,,
Argentina,ARG,116.2501678,116.7984314,114.4946671,115.8060532,115.2991486,117.2033005,118.0511093,118.5934601,117.905983,116.9757614,115.6147308,114.2271729,112.0119476,111.459671,111.3034134,110.7391815,109.7414627,,
Armenia,ARM,102.1300507,95.37493896,94.19893646,94.92137146,95.44106293,100.1557999,113.2876205,114.5186768,110.8467789,99.06498718,98.4758606,98.91773987,98.44946289,96.86598969,95.00364685,94.51789856,94.08351898,92.71524811,91.84506226
American Samoa,ASM,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,114.5785904,114.2038727,111.4890289,112.2929611,110.5734863,108.0301819,,106.0467072,104.9906235,,103.6689606,105.0212708,
Australia,AUS,100.6397781,101.5487823,101.6743088,102.2641296,102.7393188,103.3040466,105.1830521,105.1411209,105.3021317,105.6194305,105.689682,105.9844513,105.9938507,105.4570923,101.5999069,100.7444077,100.3389816,100.1605911,
Austria,AUT,102.9474716,101.2514801,100.4638214,100.7213211,100.8326187,101.559288,101.6712494,100.7259369,100.2024765,99.78977966,99.73870087,100.5990601,101.2101212,101.6281891,101.9974823,102.2643585,103.1131516,103.3168488,
Azerbaijan,AZE,98.86100006,98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,106.6014862,106.4317398,103.2940979,99.7220993,97.93534851
Burundi,BDI,60.86331177,65.64196777,71.1733017,76.26712036,80.97310638,102.9002991,115.3082886,122.9431534,131.5227356,137.170105,140.8289032,139.1704254,136.6323242,134.2994843,130.9034271,128.0420532,123.8596191,121.4215622,118.9602432
Belgium,BEL,104.076561,103.1672287,102.3609085,100.800209,100.4623413,100.7341919,101.5342178,102.1575623,102.1275635,101.9242401,101.9468002,102.2560501,103.8219681,103.6480637,103.1558075,103.3177719,103.905571,103.3507004,
Benin,BEN,90.73641205,96.16322327,99.79704285,103.7222595,100.838829,101.2934036,,113.1883087,118.4339676,120.1520081,122.7260437,127.2151489,128.7360992,129.5956726,132.4668427,130.9022827,126.6461105,121.958252,116.7085876
Burkina Faso,BFA,46.43783188,47.05757141,49.31103897,53.87440109,58.3271904,62.06520844,67.6690979,73.22383881,77.61482239,78.01416779,81.59490967,84.09261322,85.71839905,87.33791351,88.36615753,91.11083984,93.65312958,96.09037018,94.5357132
Bangladesh,BGD,,,,,101.6478119,102.416153,101.6202469,99.5429306,102.9275665,105.9745483,,,,,,,114.9886627,116.4663391,
Bulgaria,BGR,104.4845963,103.39814,104.6338272,105.1268463,103.3585968,103.4179077,106.8442688,108.8717499,109.6889267,108.3310089,103.5848618,100.3291702,98.05493927,96.66216278,94.19827271,91.08322144,89.33377075,87.44220734,
Bahrain,BHR,100.6770401,100.7419815,99.80986023,98.38226318,95.74597931,98.41713715,,,,,94.86897278,95.34284973,97.67427826,99.7290802,101.2005081,101.093132,101.213089,99.36305237,98.02790833
"Bahamas, The",BHS,,93.19962311,,98.25660706,100.3983383,96.0582962,98.39376831,97.12062836,91.60777283,88.9287262,94.53547668,89.39270782,82.44187164,83.19120026,86.22971344,81.46425629,,81.36116791,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,
Belarus,BLR,114.9993134,112.4711609,102.379303,99.97944641,98.43138123,99.36715698,101.7897263,104.8463821,105.9405212,104.3696899,102.1262283,99.81443024,98.2072525,98.30412292,99.14978027,101.0770416,101.9657898,100.5002136,
Belize,BLZ,112.4040375,107.2670212,111.1511612,112.8524017,113.2709579,113.6849289,113.1168289,112.3320236,113.0299377,112.5697479,111.4016418,113.7844696,111.957489,111.552742,112.8883286,114.4841614,113.2306137,111.6968765,110.4903107
Bermuda,BMU,97.15908813,97.03556824,97.40467072,97.17172241,97.54097748,97.41773987,,,,99.3117218,98.3706665,97.21005249,96.80600739,98.06266022,101.1463394,,,,
Bolivia,BOL,117.2415237,117.8200378,116.0453796,115.4166489,114.8131638,113.2795715,112.3887634,111.0084991,107.1725998,104.5204391,100.6868896,98.28176117,97.01457214,95.90289307,95.90843964,96.55513,97.52735901,98.15091705,
Brazil,BRA,150.785553,146.8277893,140.5444946,133.6963043,133.2621613,,128.1797943,132.0552063,131.1651611,,132.4966125,,,,,,,,
Barbados,BRB,99.27465057,96.76538849,96.64907074,94.95597839,96.12875366,98.2460022,99.64701843,101.1689224,100.4597092,99.5956192,98.28398895,,,95.19335175,95.91723633,97.28296661,97.76967621,99.35134888,100.3379135
Brunei Darussalam,BRN,107.3191299,107.7133484,110.6532669,111.04673,110.6296997,110.3037262,109.6869583,107.6224136,106.9230423,106.5421677,106.8165207,105.9343872,106.1110306,105.4932098,105.5275497,107.122818,104.8577118,103.151619,100.0995026
Bhutan,BTN,78.63001251,81.08416748,84.15406036,87.92790222,91.05957794,94.55560303,97.91548157,100.9437866,105.1542435,108.214447,110.8769836,111.9010315,106.9431076,105.4768219,104.2337723,102.6606827,101.334137,100.139679,
Botswana,BWA,111.4173203,111.5221786,111.3464279,110.886879,111.1485901,111.4676895,109.8346481,108.4972076,108.2003632,,,105.0808487,105.001442,103.7176437,103.2383881,,,,
Central African Republic,CAF,77.83853912,68.23957062,67.35006714,57.62015915,63.89601135,63.46092987,72.96401978,83.78250122,85.08270264,87.33161163,87.67289734,87.80935669,,,,102.018898,,,
