Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","26/04/2021 14:32 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=0DHmas
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 5 - 17","Female 18 - 59","Female 60",f_other,"Female total",f_unknown,"Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 5 - 17","Male 18 - 59","Male 60","Male total",m_other,m_unknown,Total
2019,Afghanistan,AFG,Afghanistan,AFG,299424,311116,250049,,550020,63304,,1473913,,294347,333850,275895,,554205,68273,1526570,,,3000483
2019,"Iran (Islamic Rep. of)",IRN,Afghanistan,AFG,0,0,0,,14,0,,14,,0,0,0,,17,5,22,,,36
2019,Pakistan,PAK,Afghanistan,AFG,7521,8360,4890,,15951,1584,,38306,,6787,8589,4322,,12191,1996,33885,,,72191
2019,Algeria,DZA,Albania,ALB,0,0,0,,0,0,,0,,0,0,0,,11,0,11,,,11
2019,Egypt,EGY,Albania,ALB,0,0,0,,0,0,,0,,0,5,0,,0,0,5,,,5
2019,China,CHN,Albania,ALB,5,0,0,,0,0,,5,,0,0,0,,7,0,7,,,12
2019,Palestinian,PSE,Albania,ALB,0,0,0,,0,0,,0,,0,0,0,,18,0,18,,,18
2019,Iraq,IRQ,Albania,ALB,0,0,0,,7,0,,7,,0,0,5,,18,0,23,,,30
2019,Morocco,MAR,Albania,ALB,0,0,0,,0,0,,0,,0,0,0,,73,0,73,,,73
2019,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,Albania,ALB,0,5,5,,11,5,,26,,0,9,0,,26,5,40,,,66
2019,"Syrian Arab Rep.",SYR,Albania,ALB,0,0,0,,10,0,,10,,0,5,0,,27,0,32,,,42
2019,Turkey,TUR,Albania,ALB,0,0,0,,0,0,,0,,7,0,0,,0,0,7,,,7
2019,Uzbekistan,UZB,Albania,ALB,0,0,0,,0,0,,0,,0,5,0,,0,0,5,,,5
2019,"Venezuela (Bolivarian Republic of)",VEN,Albania,ALB,0,0,5,,0,0,,5,,0,0,0,,0,0,0,,,5
2019,Stateless,XXA,Albania,ALB,549,439,367,,475,0,,1830,,557,445,371,,484,0,1857,,,3687
2019,"Central African Rep.",CAF,Algeria,DZA,0,5,0,,5,0,,10,,7,0,0,,50,0,57,,,67
2019,Cameroon,CMR,Algeria,DZA,5,0,5,,25,0,,35,,8,0,5,,24,0,37,,,72
2019,"Dem. Rep. of the Congo",COD,Algeria,DZA,6,7,5,,18,0,,36,,5,5,5,,8,0,23,,,59
2019,Palestinian,PSE,Algeria,DZA,8,12,8,,33,5,,66,,6,12,7,,77,5,107,,,173
2019,Guinea,GIN,Algeria,DZA,0,0,9,,10,0,,19,,0,9,0,,0,0,9,,,28
2019,"Cote d'Ivoire",CIV,Algeria,DZA,5,0,5,,24,0,,34,,6,0,0,,23,0,29,,,63
2019,Iraq,IRQ,Algeria,DZA,0,5,0,,0,0,,5,,0,0,0,,7,0,7,,,12
2019,Libya,LBY,Algeria,DZA,0,0,6,,0,0,,6,,0,7,0,,6,0,13,,,19
2019,Mali,MLI,Algeria,DZA,7,5,0,,13,0,,25,,0,0,8,,41,0,49,,,74
2019,Niger,NER,Algeria,DZA,0,5,0,,0,0,,5,,0,0,0,,0,0,0,,,5
2019,Nigeria,NGA,Algeria,DZA,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Sudan,SDN,Algeria,DZA,0,0,0,,0,0,,0,,0,0,0,,8,0,8,,,8
2019,"Syrian Arab Rep.",SYR,Algeria,DZA,448,658,335,,1431,65,,2937,,525,712,396,,3118,69,4820,,,7757
2019,"Western Sahara",ESH,Algeria,DZA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,90000
2019,Yemen,YEM,Algeria,DZA,9,7,5,,33,5,,59,,5,8,6,,179,0,198,,,257
2019,Angola,AGO,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Burundi,BDI,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,18
2019,"Central African Rep.",CAF,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,7
2019,Chad,TCD,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,189
2019,Congo,COG,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,65
2019,"Dem. Rep. of the Congo",COD,Angola,AGO,941,1183,673,,1944,81,,4822,,963,1111,593,,1856,126,4649,,,22919
2019,Eritrea,ERI,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,99
2019,Ethiopia,ETH,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Guinea-Bissau,GNB,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,7
2019,Guinea,GIN,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,130
2019,"Cote d'Ivoire",CIV,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,415
2019,Liberia,LBR,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,163
2019,Mauritania,MRT,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,322
2019,Rwanda,RWA,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,507
2019,"Sierra Leone",SLE,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,411
2019,Somalia,SOM,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,284
2019,Sudan,SDN,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,280
2019,"United Rep. of Tanzania",TZA,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,"Western Sahara",ESH,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,16
2019,Afghanistan,AFG,Egypt,EGY,0,5,0,,8,0,,13,,5,0,0,,8,0,13,,,26
2019,Burundi,BDI,Egypt,EGY,5,0,0,,14,0,,19,,5,0,0,,26,0,31,,,50
2019,"Central African Rep.",CAF,Egypt,EGY,0,0,0,,5,0,,5,,0,0,0,,31,0,31,,,36
2019,Chad,TCD,Egypt,EGY,0,5,5,,15,0,,25,,0,0,6,,16,0,22,,,47
2019,Cameroon,CMR,Egypt,EGY,0,0,0,,5,0,,5,,0,0,0,,8,0,8,,,13
2019,Congo,COG,Egypt,EGY,0,5,0,,0,0,,5,,0,0,5,,5,0,10,,,15
2019,"Dem. Rep. of the Congo",COD,Egypt,EGY,0,7,6,,13,0,,26,,0,0,6,,20,0,26,,,52
2019,Djibouti,DJI,Egypt,EGY,0,0,0,,0,0,,0,,0,0,0,,13,0,13,,,13
2019,Eritrea,ERI,Egypt,EGY,339,601,569,,2977,120,,4606,,440,629,915,,2197,69,4250,,,8856
2019,Ethiopia,ETH,Egypt,EGY,271,137,110,,1865,5,,2388,,270,149,100,,1681,9,2209,,,4597
2019,Palestinian,PSE,Egypt,EGY,0,0,0,,7,0,,35002,,0,8,0,,6,0,35008,,,70010
2019,Guinea,GIN,Egypt,EGY,0,0,0,,0,0,,0,,0,6,0,,0,0,6,,,6
2019,"Cote d'Ivoire",CIV,Egypt,EGY,0,6,8,,26,0,,40,,0,9,7,,41,0,57,,,97
2019,Iraq,IRQ,Egypt,EGY,73,188,266,,1454,220,,2201,,59,205,296,,1418,237,2215,,,4416
2019,Jordan,JOR,Egypt,EGY,0,0,0,,0,0,,0,,0,0,0,,11,0,11,,,11
2019,Kenya,KEN,Egypt,EGY,0,6,0,,0,0,,6,,0,0,0,,0,0,0,,,6
2019,Nigeria,NGA,Egypt,EGY,0,0,0,,7,0,,7,,0,8,0,,6,0,14,,,21
2019,"Russian Federation",RUS,Egypt,EGY,0,8,0,,0,0,,8,,0,0,0,,0,0,0,,,8
2019,Rwanda,RWA,Egypt,EGY,0,0,0,,5,0,,5,,0,0,0,,0,0,0,,,5
