Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.60091302,20.11332687,12.21619037,2.092910106,3.831273603,0.275949465,0.989467955,2.284429865,-2.079503787,-2.311932102,4.22698289,-0.141879498,-0.727457998,5.427607588,-5.107188391,-5.405878435,-0.152950664,6.031742435,-0.094958446,0.245882556,1.41000954,-0.224764201,-10.60529961,-3.887759853,3.063882371,-1.864167717,3.593197948,-0.294411895,5.125615922,1.583035098,1.521780328,,,
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868361903,-2.875183528,7.207933018,2.253357413,11.02277394,1.59421129,18.51536871,11.26413324,-2.681080849,8.974879568,1.974168629,-0.665270518,-1.622886672,-0.541697283,0.06425026,-1.195347001,1.536912103,
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.709947122,-3.4905143,0.548367121,2.288440878,-0.107675791,-0.670689621,0.488389654,2.496667663,-3.335903578,-6.657532178,-2.310859752,-8.876967191,-26.41177043,-1.87781639,11.3594812,9.952817382,3.877850429,1.364723786,-1.085279543,-0.267944537,0.822113704,9.943764019,-0.431850563,7.187035527,11.0308358,7.58232901,9.890011506,7.116873151,-2.808634457,0.640294454,-0.220851379,4.706498162,1.292041412,1.219834735,-2.468719084,-5.816190702,-3.409908649,-5.162101631,-3.795673937,
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-27.56682084,-6.622551214,10.22994936,8.969761653,14.02449593,9.780179886,-10.36110498,9.51715258,13.60715645,7.633866403,9.311123961,4.853922135,5.925630153,5.951880823,6.071390912,6.570331606,6.783926591,8.328035999,4.048888488,4.223037747,2.821557928,1.585156475,1.187203907,1.985426103,2.516852986,3.480117005,3.897710666,4.328395578,2.676549556,
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-0.603684765,2.788907252,2.672409324,1.010490232,-3.33802602,-0.18117565,-0.280692815,-1.442215406,-3.064448989,-1.330760035,-3.948745552,-2.931372609,-2.595335898,-2.598351728,-2.023786568,-1.001824036,1.325672934,0.97048769,0.801682525,-0.142614682,-1.366129581,-2.87054458,-4.412622893,-0.403571698,0.869722421,3.820477136,9.123624337,3.492427355,3.730359531,1.913451853,4.986929232,0.504740651,4.040888143,3.792889484,1.892420874,2.057546351,-0.523712361,-6.885785763,-5.976668089,-1.958707356,0.830101584,-3.452688295,-1.573745735,4.524455557,2.997046098,4.667654578,0.731812819,1.582169331,1.669679827,
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,12.2047947,4.826856775,-3.871380017,8.107119158,5.631517941,-0.166245296,-11.86392127,-9.704168913,-1.685545897,-5.226743911,1.667394526,-3.354259037,2.734949905,-0.418463267,9.113260252,-1.194272805,3.035680488,0.553817829,0.594420248,-0.359762837,2.212227404,1.933948255,3.02739127,-0.342014154,3.272927313,-0.57999093,-1.557379515,3.063164471,6.976221167,3.36264017,4.028850931,2.043404308,3.276813697,-1.96523723,2.231818597,1.386670248,4.283180252,1.039801734,0.337680443,1.126315514,1.458590075,-1.106609111,0.160481766,-0.428806508,
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,0.15611932,5.350448743,-13.38743048,8.433293402,13.21155345,-2.69925265,-12.18062864,-9.681446777,-1.249286149,-8.688889748,-19.67454451,-2.493563435,-8.216746736,5.91828004,11.67839789,-4.80060101,-2.481442038,-4.341973729,1.247257703,1.355678829,0.630164736,2.834828877,-4.765075601,-2.399652851,4.909503924,-3.778971439,-2.750614931,1.966528205,-0.037811251,-7.020583817,-4.916643016,-11.34550429,-10.2087752,-15.15125558,-5.914810324,2.187920775,2.257926243,4.410159045,4.100219468,4.553055405,1.981139399,1.011502511,-0.320549385,0.225275019,
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.72878832,-2.425908029,-6.788178178,8.437233741,8.896769815,-2.136468671,1.678466146,3.286928565,8.050283806,1.479498527,4.007465118,0.005811414,1.156920954,3.851782454,-1.587844785,-3.506387214,5.342986096,-5.916418784,8.577753769,-0.029632055,-6.668514496,-2.307755905,2.681981722,-0.051839979,-6.692587785,4.484309572,1.106051555,-2.603254489,-8.540824598,-3.874103165,7.614342819,6.487606324,6.802920861,4.505472299,-4.032155953,4.27459837,6.864754271,2.680954121,-4.455157264,-1.874912415,-5.447091545,-11.85477684,7.676545539,7.884937565,7.729475205,6.955547382,7.924238139,3.029477312,-6.854227333,9.300128322,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648177,-3.550091167,-3.055854861,
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87089605,-40.74445259,-6.63846818,7.949920789,9.103521631,7.506968539,4.479641162,8.142263812,3.957617363,6.570363872,10.27915142,13.82342535,14.60612499,11.13382321,14.64312949,14.0786439,14.69598356,7.819137246,-13.5192417,2.582648083,4.728426774,6.914143642,2.82388904,3.07285853,2.736128724,-0.16150062,7.18375793,4.95169918,7.383361636,
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095753115,0.240184563,-0.202616989,-3.428950886,3.259806828,-1.134692886,-2.870528545,1.524295609,0.869269598,-4.234377289,-2.836798492,0.803753378,1.365901551,-2.645383249,-5.64961891,2.470435213,,
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,4.590591397,8.226289413,8.313536907,3.924106611,-0.050048688,5.350374048,10.1667786,7.643793597,11.551603,6.690292492,5.121295811,4.849991256,2.155041009,0.823726969,-0.573760335,3.189550454,4.411549359,-6.401364649,4.321152709,3.219613718,2.557093215,1.69385079,4.328496967,-6.02653774,-0.370000008,4.732194049,4.4030742,4.998241117,11.01965226,7.595499597,-1.619553235,-13.33177849,-9.182762663,-3.304233499,2.05110583,-1.803232595,2.622780496,2.711206847,4.42525495,2.173818458,6.430026467,3.762049185,
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.4667226,-1.146259196,4.197037416,4.899688157,3.926748453,0.071361816,4.96922009,3.258015408,4.827150846,5.081356359,0.546809149,2.019907179,1.056878174,1.501347061,0.109760892,1.56423169,2.436774313,-0.269639311,2.925202006,1.78594096,1.710892308,1.619689863,-3.435636379,3.403882975,3.820001234,2.346263024,1.003183054,4.027279114,2.118047198,2.049457152,-1.65926862,-0.798845364,3.017106103,2.889016373,2.590920803,2.522734609,2.809919054,3.492413327,3.879959456,2.701328764,0.565688738,2.739716104,1.722900255,2.856048922,1.851139498,1.289214061,3.197559712,1.601302301,-0.142470567,0.492053155,1.048854351,2.119683584,0.834364138,1.015114223,0.732407044,1.177907008,0.591766543,1.379960221,0.623892342,
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.960717183,2.021469667,3.471466159,5.419336014,2.810012786,4.904479004,2.241009758,3.931241829,5.909495926,5.950496618,4.646942731,5.592381531,4.310905781,3.765373032,-0.099030082,4.763369869,5.039647613,-0.129830488,5.536447933,1.731377792,-0.398620518,1.938121505,3.13962808,0.057573093,2.450565671,2.236402355,1.293045279,3.149746508,3.420101785,3.553547647,2.413986454,0.97609224,-0.298754361,2.008761944,2.510912694,2.211434933,1.977975908,3.467829941,3.355044661,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.69076313,2.081696592,1.001203453,
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.229583456,-23.76383099,-24.25939892,-20.77813682,-12.8099672,0.282171311,4.784282218,8.960888302,6.461582378,10.19102962,9.051822301,8.625351139,9.37646097,8.301538012,26.66009473,32.99706632,24.04867893,8.293390791,7.121819526,3.54986089,-2.847182953,0.853886052,4.483203027,1.522431572,-0.147024804,-4.141174903,-0.824348483,0.62488441,1.366684408,
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-15.39432273,7.004316377,2.129368284,4.100619218,1.679521218,2.101646226,10.92708405,-2.798976582,-3.681439855,19.05299876,1.264624404,-7.444079353,5.837690588,-1.851357726,-0.783592555,5.939141157,9.052516736,-3.31897077,-0.893912823,-1.585501292,9.291919691,-3.611096203,0.998593405,-2.522652212,8.730648788,0.378672989,2.556666723,2.154440786,-1.292979331,0.990079088,2.620102869,-1.13327942,-8.059037337,-5.475186243,-9.274598272,-9.109262848,-2.586922602,3.675804635,-2.298281891,-2.593683632,-0.238090712,1.664524825,-4.155083318,1.562404033,-2.294459325,2.046996795,0.104987386,1.456421292,0.455622978,1.756376353,0.748442779,1.198056673,1.687469876,1.021529748,-6.886405717,-3.708336062,-2.646941222,-1.557407354,-1.294802749,
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.630257134,4.794034518,3.574353541,5.949139356,2.624444661,2.461462453,3.291575742,3.785044364,6.328283647,5.478790451,3.79648857,4.88408824,6.047488699,4.236777496,-2.248829646,5.464140019,0.501978717,2.74598979,2.249127516,4.329008275,-0.276653455,0.62232907,0.319812264,2.467921562,1.621518975,1.786469656,2.219478116,4.39079501,3.093999126,2.830267975,1.455371726,1.11956586,-1.34799971,2.909318769,2.170550274,1.123669018,3.542789064,1.744323895,3.305706514,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386,1.128595725,1.451893368,0.755268919,1.217416983,1.349915151,1.238815024,
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.708894548,-4.855164142,3.084114416,4.872974956,3.438229481,1.652640175,-0.885591019,1.748705061,0.745684799,-0.064520037,-3.622459773,4.08371023,1.371100857,0.948679616,-7.160061686,-1.587378559,2.345923333,-1.345275126,3.75091091,3.948194093,6.990660966,-0.565306047,-7.005163734,4.895365282,4.472126419,-0.751791121,-4.339874444,0.360547047,-5.820202585,5.507107214,0.764700702,-0.562599754,2.195190168,-1.415683604,2.609371547,1.094014901,2.580644359,0.93026303,2.277471448,2.745589289,2.195765819,1.506620449,0.346536838,1.337907222,-1.24590171,0.975138263,3.00416767,1.976187395,-0.515164887,-0.711514735,0.117033148,1.919610424,4.241378271,3.439399576,-1.004112064,0.525081923,2.805123831,3.818777311,4.003206857,
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.656018055,4.722128332,-2.593424583,0.857187825,2.24102302,-1.021090474,7.058359024,1.344304081,0.288794717,-1.599348439,-0.336973635,0.523656203,-1.334392179,6.322260293,1.082119895,6.467796597,-1.588731261,2.495364318,1.476287116,-1.436673582,1.832680565,6.912854231,-2.150736593,-4.261042654,5.755741753,5.194955613,-2.802458257,3.057972371,-0.510909236,-3.211214443,6.188996859,-2.430523116,0.695587921,-1.410838938,2.852986633,7.987347789,3.398121007,4.341710113,4.406624119,-0.966322348,3.608624586,1.394526618,4.72275998,1.464119829,5.49347499,3.124187495,1.022485445,2.647510698,-0.107459606,5.220951243,3.462096431,3.309214221,2.684827068,1.282101663,0.91096233,2.913556507,3.177257653,3.714618469,2.735458618,
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.159048781,2.566308889,-3.220615992,7.773972911,-1.408619097,-0.613934047,-4.995057714,6.102950203,-1.623463707,3.066662145,-7.353332625,-15.38638069,1.779977593,7.830789146,-5.900693482,3.322466535,0.141710082,4.254798361,1.991281903,-1.852564743,4.443148282,-0.499719454,1.215517142,2.107824498,0.669020608,1.464268357,1.07853906,-0.207285397,0.274083217,3.086984024,1.106644289,3.114221223,2.465580527,1.690415604,2.901246047,2.319628112,2.306687056,3.014679513,2.574209027,3.257499679,3.113805084,1.960382474,2.941853266,3.553360233,4.965842913,5.244531351,5.753420689,4.806170346,3.878501409,4.390966439,5.253090927,5.298268389,4.794396988,4.856108324,5.368770649,5.950903439,6.142094382,6.737051303,7.031583836,
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.551144229,2.032294165,3.172520881,3.154807367,2.684953395,4.235241269,5.898612494,10.82009085,-2.151690705,-7.463207655,-7.534068829,-6.271263897,-0.691213461,2.164358731,3.314187644,5.682548948,-13.66882955,4.983507372,-7.765352383,5.300838382,5.904565725,8.278099417,5.988070656,7.24831911,7.963428687,7.616424611,7.343463915,6.832886277,-2.750290659,1.223588178,3.012992727,0.939559724,0.888813875,2.466219592,4.6555006,4.551172108,4.261548231,3.839552119,4.426793443,
