,Country of origin,Country Code,Country of asylum,Country of asylum (ISO),Female total,Male total,Total,gdp_per_cap,gdp_growth_rate,inflation_rate,2_letter_code,latitude,longitude
0,Afghanistan,AFG,Afghanistan,AFG,1473913,1526570,3000483,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
1,Afghanistan,AFG,Egypt,EGY,13,13,26,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
2,Afghanistan,AFG,Argentina,ARG,5,7,12,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
3,Afghanistan,AFG,Armenia,ARM,0,5,5,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
4,Afghanistan,AFG,Australia,AUS,0,0,11585,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
5,Afghanistan,AFG,Austria,AUT,0,0,37276,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
6,Afghanistan,AFG,Azerbaijan,AZE,227,400,627,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
7,Afghanistan,AFG,Belgium,BEL,0,0,5070,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
8,Afghanistan,AFG,Belarus,BLR,0,0,213,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
9,Afghanistan,AFG,Brazil,BRA,0,0,132,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
10,Afghanistan,AFG,Bosnia and Herzegovina,BIH,63,839,902,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
11,Afghanistan,AFG,Bulgaria,BGR,0,0,243,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
12,Afghanistan,AFG,Canada,CAN,0,0,2447,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
13,Afghanistan,AFG,China,CHN,13,8,21,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
14,Afghanistan,AFG,Chile,CHL,0,0,13,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
15,Afghanistan,AFG,Colombia,COL,5,5,10,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
16,Afghanistan,AFG,Cuba,CUB,9,26,35,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
17,Afghanistan,AFG,Cyprus,CYP,0,0,14,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
18,Afghanistan,AFG,Czechia,CZE,0,0,45,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
19,Afghanistan,AFG,Denmark,DNK,0,0,2620,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
20,Afghanistan,AFG,Ecuador,ECU,0,0,150,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
21,Afghanistan,AFG,Estonia,EST,0,0,9,507.10343190000003,1.5369121030000001,6.521479845,AF,33.93911,67.709953
